Date,SPY,TLT
2005-03-02,82.667564,46.83123
2005-03-03,82.701714,46.805122
2005-03-04,83.731903,47.312138
2005-03-07,83.772835,47.500332
2005-03-08,83.459015,47.050751
2005-03-09,82.531181,46.282356
2005-03-10,82.715317,46.564632
2005-03-11,82.135429,46.224876
2005-03-14,82.647148,46.501945
2005-03-15,81.96489,46.209171
2005-03-16,81.269005,46.491489
2005-03-17,81.432709,46.643055
2005-03-18,81.190971,46.350357
2005-03-21,80.889595,46.219646
2005-03-22,80.06768,45.82761
2005-03-23,80.136154,46.047134
2005-03-24,80.232063,46.141254
2005-03-28,80.348495,45.85899
2005-03-29,79.814262,46.130806
2005-03-30,80.944405,46.360794
2005-03-31,80.793686,46.695328
2005-04-01,80.430672,46.852722
2005-04-04,80.567665,46.842213
2005-04-05,80.951225,46.721561
2005-04-06,81.23204,46.884186
2005-04-07,81.670403,46.506432
2005-04-08,80.821075,46.669075
2005-04-11,80.882736,46.920948
2005-04-12,81.300537,47.356411
2005-04-13,80.341652,47.241009
2005-04-14,79.293686,47.167564
2005-04-15,78.184143,47.791889
2005-04-18,78.423851,47.755173
2005-04-19,79.047134,48.216862
2005-04-20,77.944412,48.096195
2005-04-21,79.458076,47.592522
2005-04-22,79.156708,47.991241
2005-04-25,79.677269,48.13287
2005-04-26,78.903313,48.059448
2005-04-27,79.211517,48.227367
2005-04-28,78.218361,48.584122
2005-04-29,79.280052,48.500179
2005-05-02,79.725212,48.489635
2005-05-03,79.862206,48.621273
2005-05-04,80.478645,48.19482
2005-05-05,80.451256,48.305317
2005-05-06,80.197807,47.947285
2005-05-09,80.697792,47.994682
2005-05-10,79.862206,48.336979
2005-05-11,80.300522,48.484386
2005-05-12,79.417007,48.67392
2005-05-13,79.259476,48.863518
2005-05-16,79.999161,48.805565
2005-05-17,80.533424,48.942505
2005-05-18,81.36219,49.268929
2005-05-19,81.704666,49.14257
2005-05-20,81.588188,49.200504
2005-05-23,82.040268,49.584873
2005-05-24,81.848457,49.721771
2005-05-25,81.78685,49.374279
2005-05-26,82.225189,49.358433
2005-05-27,82.36216,49.411102
2005-05-31,81.83477,50.021923
2005-06-01,82.533409,50.634411
2005-06-02,82.711487,50.755959
2005-06-03,82.293694,50.338444
2005-06-06,82.21833,50.602695
2005-06-07,82.279991,51.004383
2005-06-08,82.129272,50.761223
2005-06-09,82.519676,50.71896
2005-06-10,82.327919,50.148201
2005-06-13,82.588219,49.846981
2005-06-14,82.779991,49.519321
2005-06-15,82.937515,49.60915
2005-06-16,83.149849,49.85754
2005-06-17,83.457947,49.852245
2005-06-20,83.485443,49.767689
2005-06-21,83.533569,50.132328
2005-06-22,83.602348,50.740108
2005-06-23,82.426422,50.687237
2005-06-24,81.821236,50.940968
2005-06-27,81.938103,51.078346
2005-06-28,82.625839,50.729553
2005-06-29,82.405792,50.650269
2005-06-30,81.958755,51.104816
2005-07-01,82.199425,50.485348
2005-07-05,82.859634,50.008114
2005-07-06,82.165062,50.283836
2005-07-07,82.488266,50.389946
2005-07-08,83.430397,50.183098
2005-07-11,83.856796,50.183098
2005-07-12,84.076836,49.902046
2005-07-13,84.193718,49.827774
2005-07-14,84.523865,49.700542
2005-07-15,84.4757,49.833096
2005-07-18,84.138718,49.461876
2005-07-19,84.59948,49.63689
2005-07-20,84.888321,49.907352
2005-07-21,84.393196,49.228554
2005-07-22,84.957092,49.610348
2005-07-25,84.716362,49.430061
2005-07-26,84.81955,49.509583
2005-07-27,85.12899,49.430061
2005-07-28,85.665382,49.870228
2005-07-29,85.094604,49.377014
2005-08-01,85.032722,49.193401
2005-08-02,85.541603,49.033741
2005-08-03,85.768547,49.273243
2005-08-04,85.080849,49.172092
2005-08-05,84.503212,48.788818
2005-08-08,84.345039,48.698395
2005-08-09,84.853928,48.879337
2005-08-10,84.81266,48.826138
2005-08-11,85.14962,49.166763
2005-08-12,84.627022,49.667091
2005-08-15,85.14962,49.539391
2005-08-16,84.042473,49.88538
2005-08-17,84.035553,49.555351
2005-08-18,84.028702,49.922619
2005-08-19,84.221275,49.917294
2005-08-22,84.221275,49.864086
2005-08-23,84.06308,50.092972
2005-08-24,83.313507,50.140865
2005-08-25,83.616051,50.300541
2005-08-26,83.045311,50.284561
2005-08-29,83.684837,50.34845
2005-08-30,83.244705,50.667839
2005-08-31,84.296928,51.09362
2005-09-01,84.234993,50.785965
2005-09-02,84.083725,50.828697
2005-09-06,85.067108,50.47084
2005-09-07,85.211502,49.995438
2005-09-08,84.92955,50.048866
2005-09-09,85.686035,50.209114
2005-09-12,85.514107,49.861927
2005-09-13,85.039581,50.123642
2005-09-14,84.730148,49.931358
2005-09-15,84.688927,49.520058
2005-09-16,85.291115,49.194256
2005-09-19,85.00795,49.301075
2005-09-20,84.289696,49.429276
2005-09-21,83.502388,49.888607
2005-09-22,83.799377,49.840542
2005-09-23,83.868431,49.466648
2005-09-26,83.965111,49.24231
2005-09-27,83.944412,49.311756
2005-09-28,84.027298,49.642948
2005-09-29,84.710976,49.418571
2005-09-30,84.973442,49.247639
2005-10-03,84.66954,48.862644
2005-10-04,83.716507,49.023483
2005-10-05,82.618416,49.238018
2005-10-06,82.321472,49.050304
2005-10-07,82.604607,49.248722
2005-10-10,81.907074,49.216541
2005-10-11,81.789665,49.114651
2005-10-12,81.1474,48.637394
2005-10-13,81.09906,48.460442
2005-10-14,81.955421,48.385384
2005-10-17,82.259293,48.374638
2005-10-18,81.368401,48.428276
2005-10-19,82.722008,48.449722
2005-10-20,81.264824,48.578438
2005-10-21,81.582489,49.028839
2005-10-24,82.846298,48.648155
2005-10-25,82.680573,48.229836
2005-10-26,82.438873,47.875931
2005-10-27,81.561768,48.047535
